Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
13/20,8/20,13450,1345000,135.71929168701172,4038.5320093631744,156.761663839221,482.93424339592457,0.97,0.97,0.49,-484.29
13/20,9/20,13500,1350000,136.05452394485474,4035.6834213733673,158.8432678580284,472.42515030503273,1.0,1.0,0.0,-515.88
13/20,10/20,13550,1355000,135.32634806632996,4037.4339191913605,159.50530344247818,512.0183274000883,0.98,0.98,0.17,-598.61
13/20,11/20,13600,1360000,137.3105046749115,4032.1911504268646,159.5550713390112,492.1448955088854,0.92,0.92,0.01,-220.22
13/20,12/20,13650,1365000,133.86524176597595,4010.96262717247,157.5440358519554,477.61614179611206,0.72,0.72,0.0,-558.15
13/20,13/20,13700,1370000,135.28718209266663,4020.9604454040527,157.84159599244595,450.55565740168095,0.98,0.98,0.01,-401.93
13/20,14/20,13750,1375000,137.22017407417297,3970.318930387497,159.89634750783443,480.0161339342594,0.97,0.97,0.1,-408.4
13/20,15/20,13800,1380000,134.16492748260498,3930.1213297843933,160.6748767197132,474.84117075800896,0.98,0.98,0.01,-370.78
13/20,16/20,13850,1385000,136.09099054336548,3964.0156536102295,160.1298622637987,508.31956385076046,1.0,1.0,0.04,-439.65
13/20,17/20,13900,1390000,136.9268774986267,3929.9043633937836,156.6421056240797,437.93160915374756,0.99,0.99,0.03,-377.75
13/20,18/20,13950,1395000,133.91608810424805,3934.03267288208,157.15907698869705,469.083853751421,0.54,0.54,0.07,-483.25
13/20,19/20,14000,1400000,136.45327401161194,3957.2913875579834,159.69529220461845,481.55832186341286,0.65,0.65,0.05,-463.83
14/20,0/20,14050,1405000,137.40178084373474,3917.8770921230316,159.25465378165245,489.56843499839306,0.98,0.98,0.04,-450.89
14/20,1/20,14100,1410000,135.56918811798096,3936.166307449341,156.74906949698925,469.77942910790443,0.98,0.98,0.13,-551.38
14/20,2/20,14150,1415000,133.44256806373596,3938.7751758098602,156.4994743615389,463.80025938153267,0.96,0.96,0.05,-614.05
14/20,3/20,14200,1420000,135.29269456863403,3915.054836034775,157.44094122946262,451.4316175431013,0.99,0.99,0.26,-438.86
14/20,4/20,14250,1425000,134.22179698944092,3893.9589853286743,160.11436940729618,455.87939651310444,1.0,1.0,0.02,-450.73
14/20,5/20,14300,1430000,134.86625719070435,3867.301085948944,160.98351526260376,412.57122541964054,0.85,0.85,0.03,-465.61
14/20,6/20,14350,1435000,136.47165846824646,3873.149811029434,155.4391054660082,536.1069444864988,1.0,1.0,0.06,-585.75
14/20,7/20,14400,1440000,135.18656134605408,3839.216203689575,157.84092515707016,489.9613315463066,0.98,0.98,0.02,-335.02
14/20,8/20,14450,1445000,136.43629550933838,3835.3130753040314,159.94384568929672,486.2803159803152,0.98,0.98,0.11,-435.02
14/20,9/20,14500,1450000,135.69650173187256,3813.930643081665,157.1237004995346,444.3285211920738,1.0,1.0,0.01,-377.82
14/20,10/20,14550,1455000,138.6659014225006,3780.621561765671,156.1752810627222,508.8026379197836,0.93,0.93,0.07,-231.06
14/20,11/20,14600,1460000,139.96696591377258,3772.2386198043823,154.65994907915592,469.9684021100402,0.99,0.99,0.02,-214.88
14/20,12/20,14650,1465000,137.1156096458435,3776.1943497657776,156.59396089613438,480.18560795485973,0.99,0.99,0.05,-360.65
14/20,13/20,14700,1470000,137.00790452957153,3783.194399833679,157.0257240086794,503.27179792523384,1.0,1.0,0.08,-380.48
14/20,14/20,14750,1475000,137.61153078079224,3789.230097055435,156.21168611943722,545.9070760905743,1.0,1.0,0.23,-303.2
14/20,15/20,14800,1480000,138.75733733177185,3811.5357718467712,157.89902648329735,509.48096111416817,1.0,1.0,0.27,-406.87
14/20,16/20,14850,1485000,139.612539768219,3783.848373413086,156.6263244599104,463.0502799898386,0.96,0.96,0.0,-391.24
14/20,17/20,14900,1490000,136.95706748962402,3786.8983318805695,158.53950090706348,518.3518898934126,1.0,1.0,0.14,-343.48
14/20,18/20,14950,1495000,136.8715958595276,3766.088217973709,157.6288914680481,537.8516145795584,0.99,0.99,0.03,-173.83
14/20,19/20,15000,1500000,134.06178522109985,3782.4867403507233,158.65968111157417,474.4678234755993,0.91,0.91,0.04,-621.6
15/20,0/20,15050,1505000,136.3496265411377,3794.0653455257416,157.18119724094868,475.5271260291338,0.98,0.98,0.04,-277.69
