Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
4/20,0/20,4050,405000,38.762263774871826,3421.9674015045166,117.73865342140198,1093.9346011132002,0.87,0.87,2.86,-138.03
4/20,1/20,4100,410000,38.26678776741028,3438.8336973190308,120.157536059618,1111.1976867616177,0.76,0.76,4.21,-235.83
4/20,2/20,4150,415000,39.42929291725159,3446.6173644065857,119.56485330313444,1117.456858843565,0.81,0.81,4.38,-195.25
4/20,3/20,4200,420000,38.18006086349487,3458.2848665714264,119.62255694717169,1162.9948477968574,0.83,0.83,3.04,-183.73
4/20,4/20,4250,425000,38.9173641204834,3425.660202026367,116.8106520473957,1176.4249401167035,0.84,0.84,2.7,-169.01
4/20,5/20,4300,430000,38.07995581626892,3437.5299260616302,113.91206759214401,1201.16383767128,0.84,0.84,3.01,-167.15
4/20,6/20,4350,435000,39.934685468673706,3483.974390268326,119.1846241503954,1237.881129667163,0.91,0.91,2.43,-103.68
4/20,7/20,4400,440000,38.487693548202515,3426.3060636520386,118.22826844453812,1125.1148749664426,0.85,0.85,3.07,-157.83
4/20,8/20,4450,445000,38.514668464660645,3392.0611943006516,117.14016169309616,1113.685530230403,0.75,0.75,4.08,-258.01
4/20,9/20,4500,450000,38.319987058639526,3412.3266221284866,116.10821168124676,1169.1842086315155,0.77,0.77,4.08,-232.98
4/20,10/20,4550,455000,37.34962201118469,3408.6026623249054,116.65590924024582,1117.706003844738,0.82,0.82,3.72,-180.92
4/20,11/20,4600,460000,38.7932915687561,3434.208950996399,114.57136087864637,1123.4884729906917,0.86,0.86,2.71,-146.96
4/20,12/20,4650,465000,37.51448202133179,3443.9722695350647,111.5583488047123,1065.4826144650578,0.78,0.78,3.49,-217.72
4/20,13/20,4700,470000,37.84540057182312,3460.370101451874,115.93274873495102,1113.7658685520291,0.86,0.86,3.04,-148.75
4/20,14/20,4750,475000,37.711130142211914,3493.708885073662,118.52106339484453,1053.4944218546152,0.85,0.85,3.63,-166.38
4/20,15/20,4800,480000,37.71654033660889,3506.1171567440033,116.04811887443066,1097.9436749890447,0.9,0.9,3.28,-115.76
4/20,16/20,4850,485000,37.477763652801514,3457.8094094991684,117.14371214807034,1121.1789312437177,0.79,0.79,3.61,-211.05
4/20,17/20,4900,490000,37.614317893981934,3482.2904646396637,118.07384867966175,1096.314793922007,0.84,0.84,3.28,-165.38
4/20,18/20,4950,495000,39.042792558670044,3509.3705203533173,115.01952189207077,1167.0527346283197,0.86,0.86,3.2,-145.13
4/20,19/20,5000,500000,37.94784116744995,3488.9070653915405,116.29037038981915,1234.215303517878,0.87,0.87,3.24,-140.58
5/20,0/20,5050,505000,37.39799237251282,3444.026645898819,116.79144272953272,1090.555487126112,0.84,0.84,2.8,-166.1
5/20,1/20,5100,510000,37.29989814758301,3427.794864654541,117.79787507653236,1054.2203234806657,0.8,0.8,3.75,-206.91
5/20,2/20,5150,515000,37.59114074707031,3416.171384334564,120.40243684500456,1190.9359873235226,0.83,0.83,3.24,-177.12
