Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
6/20,3/20,6200,620000,86.9905743598938,6513.636587142944,165.6129027158022,603.4165086150169,0.7,0.7,0.3,-933.0
6/20,4/20,6250,625000,85.84395408630371,6518.192898750305,167.88146655261517,579.6461764276028,0.63,0.63,1.26,-912.66
6/20,5/20,6300,630000,86.29921817779541,6504.590904712677,165.91736741364002,647.9821480661631,0.72,0.72,1.01,-905.24
6/20,6/20,6350,635000,85.96871447563171,6468.25722360611,167.2861581146717,595.3893972486258,0.71,0.71,1.27,-906.85
6/20,7/20,6400,640000,87.07236456871033,6508.176552295685,166.66404561698437,650.9013611376286,0.35,0.35,1.14,-835.2
6/20,8/20,6450,645000,85.99819278717041,6510.182350635529,170.91684493422508,601.6716335266829,0.78,0.78,1.12,-861.82
6/20,9/20,6500,650000,87.3670163154602,6525.693235397339,168.98313288390636,601.8224465847015,0.34,0.34,1.11,-809.41
6/20,10/20,6550,655000,85.8597776889801,6550.4088344573975,169.6288424283266,592.4740750342607,0.69,0.69,0.71,-884.67
6/20,11/20,6600,660000,85.87403082847595,6535.521332740784,167.9621156901121,588.8953140228987,0.82,0.82,1.28,-924.45
6/20,12/20,6650,665000,86.01634430885315,6566.929196357727,165.52684819698334,595.1539703160524,0.79,0.79,2.22,-885.32
6/20,13/20,6700,670000,88.3262631893158,6594.695859909058,165.7591752409935,582.8544696122408,0.78,0.78,0.91,-724.52
6/20,14/20,6750,675000,87.49487209320068,6600.0074071884155,165.76567155122757,630.6090410798788,0.53,0.53,1.32,-787.1
6/20,15/20,6800,680000,88.3174729347229,6511.9333119392395,167.41376115381718,629.244135722518,0.83,0.83,0.85,-753.66
6/20,16/20,6850,685000,88.36540794372559,6514.240533351898,169.31444844603539,613.0660970807076,0.71,0.71,0.69,-722.95
6/20,17/20,6900,690000,88.77460217475891,6516.215339183807,168.03131012618542,558.5947530567646,0.73,0.73,0.92,-731.12
6/20,18/20,6950,695000,87.97005534172058,6494.733667850494,165.83463905751705,586.6614994108677,0.91,0.91,1.02,-699.69
6/20,19/20,7000,700000,87.9402666091919,6473.9325222969055,169.6778215020895,634.3749593496323,0.66,0.66,1.14,-832.86
7/20,0/20,7050,705000,86.02979946136475,6434.311772823334,168.48187179863453,580.1764310002327,0.89,0.89,0.67,-951.22
7/20,1/20,7100,710000,87.2763922214508,6428.05656337738,168.03922218084335,571.4879034608603,0.89,0.89,0.8,-769.69
7/20,2/20,7150,715000,87.3736424446106,6374.285538673401,171.25257977843285,614.4199353605509,0.82,0.82,0.93,-841.6
7/20,3/20,7200,720000,85.75335311889648,6336.506796360016,168.10698223114014,592.7522886693478,0.8,0.8,0.82,-916.56
7/20,4/20,7250,725000,87.65795850753784,6258.146101951599,170.31176291406155,598.9683729559183,0.96,0.96,0.99,-724.75
7/20,5/20,7300,730000,88.86745285987854,6262.800171852112,171.3751609325409,569.4302759766579,0.63,0.63,1.19,-690.57
7/20,6/20,7350,735000,87.33004522323608,6211.907934188843,171.74119418859482,577.1554698348045,0.93,0.93,1.01,-759.17
7/20,7/20,7400,740000,86.8589506149292,6155.479250907898,169.15409445762634,593.7981785684824,0.91,0.91,1.17,-842.16
7/20,8/20,7450,745000,87.36769843101501,6182.369560241699,166.9673889130354,554.2411244362593,0.87,0.87,1.01,-817.02
7/20,9/20,7500,750000,87.56224989891052,6174.005259037018,171.0329450815916,548.0094096660614,0.91,0.91,0.7,-820.83
7/20,10/20,7550,755000,87.51830840110779,6113.376717567444,169.14961305260658,564.0012010186911,0.92,0.92,1.01,-750.21
7/20,11/20,7600,760000,86.32108640670776,6088.36049413681,168.50849747657776,557.9999861270189,0.9,0.9,0.8,-920.84
7/20,12/20,7650,765000,87.37526082992554,6074.248722076416,168.56783831119537,541.450050085783,0.51,0.51,0.95,-915.73
7/20,13/20,7700,770000,86.7489914894104,6000.655424594879,172.93166275322437,532.0185385793447,0.92,0.92,0.63,-881.75
7/20,14/20,7750,775000,86.37773561477661,5960.715013027191,172.471894800663,551.7910492271185,0.67,0.67,0.81,-806.29
7/20,15/20,7800,780000,87.59572839736938,5953.172196388245,171.66760520637035,543.2398350089788,0.88,0.88,0.78,-836.36
7/20,16/20,7850,785000,86.56450366973877,5857.844618797302,169.3252369761467,565.486990198493,0.89,0.89,1.03,-922.58
7/20,17/20,7900,790000,86.70196580886841,5828.792010307312,168.7889560163021,557.0068615078926,0.76,0.76,0.78,-895.01
7/20,18/20,7950,795000,86.3500452041626,5768.606994628906,168.75058229267597,550.3706253021955,0.97,0.97,1.06,-907.23
7/20,19/20,8000,800000,86.1767168045044,5735.891439437866,171.3148695230484,548.1341324150562,0.91,0.91,0.68,-896.21
